전원의  행진	promenade
어귀	jaw
어근	etymon, radical, radix, root
어금니	grinders, molars (teeth)
어긋나가지 않는	unswerving
어긋나다	deviate,go astray
어긋나서	crisscross
어긋남	a discrepancy
어기는	violative
어기다	Run counter to, go against
어기여차!	yoheaveho
어기죽 걸음	waddle
어기죽 어기죽 걷다	waddle
어김	breach, violation
어김없이	inevitably, without fail, for sure.  반드시
어깨	Shoulder
어깨 걸치개	shawl
어깨 두르개	wrap
어깨가 넓은 긴 웃도리에 아래가 좁은 바지	zoot suit
어깨가 딱 벌어진	squareshouldered
어깨가 떡 벌어진	squarebuilt
어깨걸이	manta
어깨걸이	tippet
어깨고기	shoulder
어깨글자	cockup
어깨글자	superscript
어깨끈 없는	strapless
어깨끈 없는 수영복	swimsuit
어깨띠	sash
어깨망토	cape
어깨받이	shoulderpiece
어깨뼈	shoulder blade
어깨에 걸고 다니는 핸드백	shoulder bag
어깨에 대는 장구	shoulderpiece
어깨에 비스듬히 걸쳐 매는 탄띠	crossbelt
어깨에 총의 자세	shoulder
어깨에 칼의 자세	carry
어깨에 해당하는 부분, 도로 양쪽 변두리	(the  shoulder   of a bottle
어깨에서 허리로 비스듬히	scarfwise
어깨의	scapula
어깨의	scapular
어깨판의	tegular
어깻죽지	the shoulders
어께너머로	looking over the shoulder
어눌하다	(語訥) to stammer
어느	Some, a certain
어느 것인가	some
어느 것인가하나	some
어느 날	one day
어느 위치에	where
어느 점에서	where
어느 정도	halfway
어느 정도	somewhat
어느 정도 교양이 있는	middlebrow
어느 정도는	partly
어느 정도의	certain
어느 종파에도 속하지 않는	nonsectarian
어느 쪽으로	whitherward
어느 쪽으로나 쪼개 지는	freestone
어느 쪽이 하든지	whichever
어느 크기로 짓다	size
어느 편에도 치우치지 않는	colorless
어느 하나의	A
어느것	which
어느것이든	which
어느것인가	either
어느덧	Before one knows it
어느덧 스며 들다	creep
어느덧 지나가는	fleeting
어느땐가	somewhere
어느새	In no time, quickly
어느이나 다	every
어느이든지	whichever
어느점으로보아도	everyway
어느정도까지	partway
어느쪽도  아니다	neither
어느쪽의 도 아닌	neither
어느쪽인가 하면	rather
어느편도 들지 않는	neutral
어는	freezing
어는힘으로 고정시키다	adfreeze
어대	(魚袋) NULL
어댑터	adapter
어덕해	How
어덜럼 당원	Adulamite
어동육서	(魚東肉西) NULL
어두 모음 소실	aphesis
어두 모음 소실의	aphetic
어두 음절 탈락	aphaeresis
어두 자음의 음성 변화	eclipsis
어두봉미	(魚頭鳳尾) the head of a fish tastes good (생선은 머리), the tail of land animals tastes good (고기는 꼬리).
어두운	tenebrific
어두운	dark, tenebrous, unsunny
어두운 그림자	shadow
어두운 빛이 없는	unshadowed
어두움	obscuration
어두워지다	become/get dark
어두육미	(魚頭肉尾) the head of a fish tastes good (생선은 머리), the tail of land animals tastes good (고기는 꼬리).
어두음 첨가	prosthesis
어두음절탈락의	aphaeretic
어두일미	(魚頭一味) 생샌은 머리, 고기는 꼬리가 최고다.
어두컴컴함	obscurity
어둑새벽	twilight
어둑어둑	dusky, gloomy
어둑하게	dimly
어둑하게  하다	dim
어둑한	darksome
어둑한	dim
어둑함	dimness
어둑해지다	dim
어둠	Darkness
어둠 상자의	scioptic
어둠 속의	darkling
어둠공포증	noctiphobia
어둡고 명암의 대비가 적은	lowkey
어둡고 원시적이고 신비적인	chthonic
어둡다	To be dark, dim, gloomy
어드레스 지정	addressing
어드레스로 불러낼 수 있는	addressable
어드레싱	addressing
어디	Where?
어디나	anyplace
어디라도	anyplace
어디로	whereto, whither
어디론가	somewhere
어디서	whence
어디서건	everywhere
어디서나	everywhere
어디서든지	whencesoever
어디선가	sometime, somewhere
어디에	where
어디에 든지	wherever
어디에나	anywhere
어디에나	everywhere
어디에나 있음	omnipr'ezns
어디에다가	where
어디에도  없다	nowhere
어디에든	anywhere
어디에서나 보이는	walltowall
어디엔가	anywhere
어디여!	gee
어디쯤에	whereabouts
어딘 가에	somewhere
어딘가	somewhere
어딘가딴곳에	elsewhere
어딘가로	somewhither
어딘지	someplace, somewhere
어때	What do you think?
어떠하다	To be how
어떡하다	To take some measures, to manage somehow
어떤	What kind of, what sort of
어떻게	how
어떻게 해서든	anyway
어떻게든	anyhow
어떻게든지	someway
어떻다	how,what.. do you think of
어떻든지	somehow
어란	roe, fish eggs
어란상	oolite
어란석	roestone
어란토붕	(魚爛土崩) NULL
어량	garth
어럽쇼!	begorra
어레미	riddle
어레미로 치다	riddle
어려울 때	need
어려움	difficulty,hardship
어려워지다	To become difficult
어려워하는	coy
어려워하다	to have a difficult time with
어렴풋이	cloudily, dimly, faintly, hazily, mistily
어렴풋하게	faintly, indistinctly.  확실하지도 않은 데 조금 조금씩 ..  hazy, foggy
어렴풋하다	to be dim, faint, obscure
어렵다	to be hard
어렵다	To be hard, difficult
어렵사리	extremely difficult, barely, with difficulty
어렵쇼	oops
어렵쇼!	yipe
어로	(漁撈) NULL
어로법	halieutics
어로불변	(魚魯不辨) NULL
어로원	rigman
어록	(語錄) analects,sayings
어론	ichthyography
어뢰	a torpedo
어뢰 발사관	torpedo tube
어뢰 방어망	crinoline
어뢰 방어망	torpedo net(ting)
어뢰로 파괴하다	torpedo
어뢰정	PT boat, torpedo boat
어료지	(御料地) NULL
어룡	ichthyosaur
어루만지다	caress, stroke
어루만지듯 닿다	caress
어류	(魚類) fish
어류 기재학	ichthyography
어류 사육가	aquarist
어류의 떼죽음	fishkill
어류지	(魚類誌) ichthyography
어류학	(魚類學) ichthyology
어류학자	(魚類學者) ichthyologist
어르다	dandle
어르다	lull
어르다	a way to get the infant to do something joyfully
어르신네	panjadrum
어른	A man, an adult
어른	(丈) the person in charge 
어른거리다	to haunt a place, to look like a moving shadow
어른거림	play
어른거림	twinkling
어름어름 해치우다	jerrybuild
어리 둥절	bamboozlement
어리 둥절하게 하다	muddle
어리고	어리고 
어리광부리는	caressive
어리다	one’s eyes dim with tears
어리다	To be very young, juvenile
어리둥절	befuddlement, perplexment, being confused
어리둥절하다	to be confused
어리둥절하며	stumblingly
어리둥질하다	stupefied, dazzled, dazed
어리벙벙하게 하다	stun
어리벙벙해진	cobwebbed
어리보기	galoot
어리상수리흑벌	gall wasp
어리석게	greenly, innocently and impudently
어리석게 돈만 많이 들인 물건	folly
어리석게도	fondly, foolishly
어리석기 짝이 없는	skimbleskamble
어리석다	juvenile,foolish
어리석어 뵈게 하다	stultify
어리석은	absurd, asinine, imbecilic, inane, lamebrained, silly
어리석은 것	blah
어리석은 경망스러운	featherbrained
어리석은 관리	Dogberry
어리석은 백성	canaille
어리석은 사람	guabbins
어리석은 사람	sheep
어리석은 생각	nonsense
어리석은 실수	rock
어리석은 언동	stupidity
어리석은 이야기	old wives'tale
어리석은 일	ball
어리석은 일	squit
어리석은 젊은이	calf
어리석은 짓	betise, folly, foppery, lunacy
어리석은 짓=	baloney
어리석은 행동	unwisdom
어리석은 행위	ineptitude
어리석은 행위넌센스	nonsense
어리석은말	imbecility
어리석은사람	sucker
어리석음	asininity, betise, fatuity, folly, foolishness, inanity, ineptitude, stupidity
어리호박벌	carpenter bee
어린 물푸레 나무	ground ash
어린 시절의 사랑	puppy love
어린 애들	children
어린벌레	nympha
어린아이	A youngster, a child
어린아이 봐주는 사람	babysiter
어린아이가 장난할 수 없는	childresistant
어린아이는 다룰 수 없는	childproof
어린애	A youngster, a child
어린애 같음	puerility
어린애 같이 지껄이다	prattle
어린양의 상	agnus dei
어린이	A youngster, a child
어린이 놀이터	playpen
어린이 무료 치아 치료	denticare
어린이 물놀이터	paddling pool
어린이 침대	cradle
어린이 침대	crib
어린이날	Children’s Day (may 5th)
어린이대공원	Grand Childrens Park
어린이에게 가르치던 예전의 글자판	hornbook
어린이역의 소년	juvenile
어린이용 변기	potty
어린이용 옷	sunsuit
어린이용 자전거	fairycircle
어린이용 헐거운 블라우스	garibaldi
어린이용의 부드러운 구두	bootee
어린이포르노	kidporn
어린학익	(魚鱗鶴翼) NULL
어릴때의	early
어림	an underestimate
어림되다	to be rated
어림셈으로	roundly
어림수	a rounded number
어림잡다	calculate, to rate
어림짐작	conjecture, guesswork, taking a shot by guessing
어림하다	to calculate, compute, estimate
어릿 광대의 보조역	stooge
어릿광대	clown, fool, gagster
어릿광대역	harlequin, pantaloon or clown
어릿광대의 방울달린 깔때기 모자	fool's cap
어릿광대짓	harlequinade
어릿광대짓하다	clown
어마	why
어마나!	creation
어마어마하다	huge, big
어망	(漁網) a fishing net, a fish net
어망 담당자	rigman
어망홍리	(魚網鴻離) NULL
어머	Oh my god!
어머!	arrah
어머!	ha
어머나	oh my dear, golly, holy cow
어머나!	bejabbers, jeez
어머니	Mom
어머니 날	mothers day
어머니 의 이름에서 딴	matronymic
어머니 중심의	matricentric
어머니 중심의	matrifocal
어머니 쪽	distaff side
어머니가 다른 형제	half brother
어머니다운	maternal
어머니다움	maternity
어머니로서 돌보다	mother
어머니임	maternity
어머니임	motherhood
어머니쪽	spindle side
어머님	Mother (respectful word)
어멈	amah
어명	(御命) NULL
어목연석	(魚目燕石) NULL
어목혼주	(魚目混珠) NULL
어묵	(魚—) boiled fish paste
어묵공장	a boiled fish paste factory
어문	(語文) linguistics and literature
어문계	(語文係) NULL
어문과장	(語文科長) NULL
어문일치	(語文一致) NULL
어문학	(語文學) NULL
어물	stock fish
어물거리다	to be wishy-washy, to waver
어물어물	sloppily
어물쩍 넘기는 사람	quibbler
어물쩍거리다	tergiversate
어물쩍하여	quibblingly
어미	(語尾) a dam, a mother animal
어미	(語尾) an ending on a word
어미나사	nut
어미변화	flection
어미원소	parent element
어미풍	fishtail wind
어민	(漁民) a fisherman, fishermen
어버이	a parent, mom and dad
어버이님	parenthood
어버이임	the state of being a parent
어법	(語法) idiom, parlance
어법 전문가	phraseologist
어법의 까다로움	word splitting
어법의 오용	vulgarism
어변성룡	(魚變成龍) NULL
어부	(漁夫) a fisherman
어부의	piscatorial
어부지리	(漁夫之利) same as 견토지쟁(犬兎之爭) with the main character being a 어부(漁夫) fisherman
어분	fish flour, fish meal
어불성설	(語不成說) a lack of logic. 말이 말로 이루어지지 않는다
어불택발	(語不擇發) NULL
어빙파의 신도	Irvingite
어사화	(御賜花) NULL
어살	a fishpound, a kiddle, a weir (a fish trap of wooden stakes)
어색	(語塞) NULL
어색하게 움직이다	ganggle
어색하다	(語塞-) To be awkward, shy with words, speechless
어색함	constraint
어색함	gaucherie
어색해 하다	squirm
어서	Quickly 2) kindly
어서 오세요	alohaoe
어서 오세요!	ave
어서 오십쇼!	welcome
어서오십시오	haeremai
어선	(漁船,魚船) a fisher boat, a fishing boat
어선단	(漁船團) NULL
어설프게	fumblingly
어설프게 다루다	fumble
어설프다	slovenly, careless
어설픈	fumbling, careless
어설픈혼란상태의	indigested
어설픔	sciolism
어설픔	sciolismlist
어세	(漁稅) emphasis
어셈블러	assembler
어셈블리언어	assembly language
어수록하다	simple, naive
어수룩하다	uncomplicated, naive, simple-minded
어수리 무리	cow parship
어수선하다	piled up in a tangle/mess
어순	(語順) word order
어순전환	inversion
어스	a ground, a ground connection, a ground wire
어스 아트	earth art
어스렁거리는	rambling
어스레하게	dimly
어스레하게	grayly
어스레하게 밝은	twilight
어스레함	dimness
어스레함	grayness
어스름	crepuscule,dim light
어스름해지다	darkle
어스말	Erse
어슬렁거리다	mosey, wander about
어슬렁어슬렁	in a wandering way
어슬프다	lazy
어슴프레하게 하다	bedim
어시장	(魚市場) fishhouse
어시장	(魚市場) fish market
어식성의	ichthyophagous
어아주	(魚牙紬) NULL
어안	fisheye
어안이 벙벙하게 하는	astounding
어안이 벙벙하다	to be confusede
어안이 벙벙하여	aghast
어어	hey, hu-huh
어어이	ahoy
어어이	hoy
어어이!	holla
어언	(於焉) NULL
어언간	(於焉間) NULL
어업	(漁業) fishing
어업 조합 집어장	fishhouse
어업감독관	fish warden
어업권	fishing rights
어업의	fishing
어여뻐지다	become beautiful
어역	(語域) NULL
어염시수	(魚鹽柴水) NULL
어염시키다	contaminate
어엿하다	sb acting in a way suitable to their position
어요소	word element
어용	(御用) for use by the king/government
어용론	pragmatics
어용상인	(御用商人) NULL
어용화	(御用化) NULL
어울리게	patly
어울리게  할 수 있는	proportionable
어울리게 하다	match
어울리다	To be becoming, suiting
어울리지 않게	unworthily
어울리지 않는	illmatched, illmated, illsuited, improper, unbecoming
어울리지 않는 결혼	misalliance
어울리지 않다	clash
어울리지 않은	incongruous, unsuitable, unsuited
어울리지 않음	disproportion
어울리지않게 하다	disproportion
어울림	suitability
어원	(語源) the origins of a word
어원상의	etymological
어원학	etymology
어원학자	etymologist
어유	(魚油) fish oil
어유부중	(魚遊釜中) NULL
어육	fish
어육 농축 단백	fish protein concentrate
어육 완자	fish ball
어육 페이스트	fish paste
어음	(語音) the sound of words
어음	(語音) a note given to say you'll pay later
어음 교환	(--交換) clearance, clearing of a bill
어음 교환 조합 은행	clearing bank
어음 교환고	outclearing
어음 교환소	clearinghouse
어음 교환액	clearing
어음 인수 상사	accepting
어음 인수인	acceptor
어음 중매인	bill broker
어음 지불지의	domiciliary
어음 할인	bank discount
어음 할인 시장	discount market
어음 할인 중개인	discount broker
어음 할인율	discount rate
어음교환고	exchange
어음수취인	drawee
어음의 공동 서명인	cosigner
어음의 만기일	due date
어음의 인수	acceptance
어음인수거절	nonacceptance
어음장	billbook
어음지급지	domicile
어음첩	notebook
어음할인율	bank rate
